test accuracy,numEpoch,ensemble,hidden nodes,alpha decay,momentum,max Epoch,early stop limit,alpha
0.559339525,236,1,5,1.00E-04,0,1000,0.6,0.1
0.593911249,237,1,5,1.00E-04,0,1000,0.6,0.1
0.59623323,238,1,5,1.00E-04,0,1000,0.6,0.1
0.556501548,239,1,5,1.00E-04,0,1000,0.6,0.1
0.235294118,240,1,5,1.00E-04,0,1000,0.6,0.1
0.610681115,241,1,5,1.00E-04,0,1000,0.6,0.1
0.567337461,242,1,5,1.00E-04,0,1000,0.6,0.1
0.57249742,243,1,5,1.00E-04,0,1000,0.6,0.1
0.575851393,244,1,5,1.00E-04,0,1000,0.6,0.1
0.590299278,245,1,5,1.00E-04,0,1000,0.6,0.1
0.615067079,246,1,5,1.00E-04,0,1000,0.6,0.1
0.579721362,247,1,5,1.00E-04,0,1000,0.6,0.1
0.583591331,248,1,5,1.00E-04,0,1000,0.6,0.1
0.5874613,249,1,5,1.00E-04,0,1000,0.6,0.1
0.596491228,250,1,5,1.00E-04,0,1000,0.6,0.1
0.575335397,251,1,5,1.00E-04,0,1000,0.6,0.1
0.616357069,252,1,5,1.00E-04,0,1000,0.6,0.1
0.558565531,253,1,5,1.00E-04,0,1000,0.6,0.1
0.559339525,254,1,5,1.00E-04,0,1000,0.6,0.1
0.549277606,255,1,5,1.00E-04,0,1000,0.6,0.1
0.57249742,256,1,5,1.00E-04,0,1000,0.6,0.1
0.574303406,257,1,5,1.00E-04,0,1000,0.6,0.1
0.609133127,258,1,5,1.00E-04,0,1000,0.6,0.1
0.578173375,259,1,5,1.00E-04,0,1000,0.6,0.1
0.26496388,260,1,5,1.00E-04,0,1000,0.6,0.1
0.584365325,261,1,5,1.00E-04,0,1000,0.6,0.1
0.502321981,262,1,5,1.00E-04,0,1000,0.6,0.1
0.588235294,263,1,5,1.00E-04,0,1000,0.6,0.1
0.56630547,264,1,5,1.00E-04,0,1000,0.6,0.1
0.609133127,265,1,5,1.00E-04,0,1000,0.6,0.1
0.583591331,266,1,5,1.00E-04,0,1000,0.6,0.1
0.566821465,267,1,5,1.00E-04,0,1000,0.6,0.1
0.528121775,268,1,5,1.00E-04,0,1000,0.6,0.1
0.540763674,269,1,5,1.00E-04,0,1000,0.6,0.1
0.569659443,270,1,5,1.00E-04,0,1000,0.6,0.1
0.519607843,271,1,5,1.00E-04,0,1000,0.6,0.1
0.593653251,272,1,5,1.00E-04,0,1000,0.6,0.1
0.585397317,273,1,5,1.00E-04,0,1000,0.6,0.1
0.556759546,274,1,5,1.00E-04,0,1000,0.6,0.1
0.526573787,275,1,5,1.00E-04,0,1000,0.6,0.1
0.565789474,276,1,5,1.00E-04,0,1000,0.6,0.1
0.529411765,277,1,5,1.00E-04,0,1000,0.6,0.1
0.573013416,278,1,5,1.00E-04,0,1000,0.6,0.1
0.579721362,279,1,5,1.00E-04,0,1000,0.6,0.1
0.598555212,280,1,5,1.00E-04,0,1000,0.6,0.1
0.58126935,281,1,5,1.00E-04,0,1000,0.6,0.1
0.575077399,282,1,5,1.00E-04,0,1000,0.6,0.1
0.57378741,283,1,5,1.00E-04,0,1000,0.6,0.1
0.593911249,284,1,5,1.00E-04,0,1000,0.6,0.1
0.583849329,285,1,5,1.00E-04,0,1000,0.6,0.1
0.578431373,286,1,5,1.00E-04,0,1000,0.6,0.1
0.612745098,287,1,5,1.00E-04,0,1000,0.6,0.1
